experiment,mode,countermeasure,max_rate_mps,max_jump_m,reject_mode,window_size,fault_threshold,hold_seconds,residual_threshold_m,min_quality,total_samples,rejected,clamped,faults,ekf_drift_m,ekf_start_m,ekf_max_deviation_m,ekf_std_m,lidar_range_m
constant____countermeasure_slew_gate___max_jump_m_3.0,constant,slew_gate,,3.0,clamp,,,,,,1500,0,0,0,72.7575,2.07,72.7619,8.3448,0.0
constant____countermeasure_slew_gate___max_rate_mps_0.2,constant,slew_gate,0.2,,clamp,,,,,,1500,0,0,0,72.7743,2.06,72.7768,8.3463,0.0
constant____countermeasure_slew_gate___max_rate_mps_0.4,constant,slew_gate,0.4,,clamp,,,,,,1500,0,0,0,-0.0031,74.83,0.0125,0.0042,0.0
constant____countermeasure_slew_gate___max_rate_mps_0.4___reject_instead_of_clamp,constant,slew_gate,0.4,,reject,,,,,,1500,0,0,0,0.0134,74.83,0.0134,0.0063,0.0
constant____countermeasure_slew_gate___max_rate_mps_0.6,constant,slew_gate,0.6,,clamp,,,,,,1500,0,0,0,72.7575,2.07,72.7713,8.3451,0.0
constant____countermeasure_slew_gate___max_rate_mps_0.8,constant,slew_gate,0.8,,clamp,,,,,,1500,0,0,0,72.7556,2.07,72.7727,8.3457,0.0
constant____countermeasure_slew_gate___max_rate_mps_1.0,constant,slew_gate,1.0,,clamp,,,,,,1500,0,0,0,72.7651,2.07,72.7729,8.3457,0.0
constant__no_countermeasure,constant__no_countermeasure,none,,,,,,,,,1500,0,0,0,72.7495,2.07,72.7642,8.3449,0.0
drift____countermeasure_robust_fallback___fault_threshold_1,drift,robust_fallback,,,,,1,,,,1500,0,0,0,1.7658,31.6,1.8894,0.7368,14.96
drift____countermeasure_robust_fallback___fault_threshold_2,drift,robust_fallback,,,,,2,,,,1500,0,0,0,0.4532,35.4,1.3137,0.2636,14.96
drift____countermeasure_robust_fallback___fault_threshold_3,drift,robust_fallback,,,,,3,,,,1500,0,0,0,0.5999,37.8,1.5064,0.2834,14.96
drift____countermeasure_robust_fallback___fault_threshold_5,drift,robust_fallback,,,,,5,,,,1500,0,0,0,0.5974,40.33,1.5445,0.2868,14.96
drift____countermeasure_robust_fallback___hold_seconds_0.5,drift,robust_fallback,,,,,,0.5,,,1500,0,0,0,0.8311,42.63,1.7848,0.307,14.96
drift____countermeasure_robust_fallback___hold_seconds_1.0,drift,robust_fallback,,,,,,1.0,,,1500,0,0,0,1.7973,44.18,2.7307,0.4375,14.96
drift____countermeasure_robust_fallback___hold_seconds_2.0,drift,robust_fallback,,,,,,2.0,,,1500,0,0,0,0.7079,47.81,1.6447,0.2911,14.96
drift____countermeasure_robust_fallback___hold_seconds_3.0,drift,robust_fallback,,,,,,3.0,,,1500,0,0,0,0.6992,50.33,1.6262,0.2901,14.96
drift____countermeasure_robust_fallback___residual_threshold_m_0.5,drift,robust_fallback,,,,,,,0.5,,1500,0,0,0,0.5805,60.57,1.5229,0.2851,14.96
drift____countermeasure_robust_fallback___residual_threshold_m_1.0,drift,robust_fallback,,,,,,,1.0,,1500,0,0,0,0.4254,63.26,1.388,0.2755,14.96
drift____countermeasure_robust_fallback___residual_threshold_m_1.5,drift,robust_fallback,,,,,,,1.5,,1500,0,0,0,2.7502,63.55,3.0382,0.9495,14.96
drift____countermeasure_robust_fallback___residual_threshold_m_2.0,drift,robust_fallback,,,,,,,2.0,,1500,0,0,0,2.5282,66.18,3.0978,0.823,14.96
drift____countermeasure_robust_fallback___window_size_3,drift,robust_fallback,,,,3,,,,,1500,0,0,0,0.5125,53.06,1.3786,0.2757,14.98
drift____countermeasure_robust_fallback___window_size_5,drift,robust_fallback,,,,5,,,,,1500,0,0,0,0.5951,55.5,1.5447,0.2899,14.96
drift____countermeasure_robust_fallback___window_size_7,drift,robust_fallback,,,,7,,,,,1500,0,0,0,0.7007,57.92,1.6123,0.2916,14.95
drift____countermeasure_slew_gate___max_jump_m_0.5,drift,slew_gate,,0.5,clamp,,,,,,1500,0,0,0,0.5774,21.12,1.5181,0.2837,14.99
drift____countermeasure_slew_gate___max_jump_m_1.0,drift,slew_gate,,1.0,clamp,,,,,,1500,0,0,0,0.7916,23.4,1.7378,0.3065,14.99
drift____countermeasure_slew_gate___max_jump_m_2.0,drift,slew_gate,,2.0,clamp,,,,,,1500,0,0,0,0.7788,25.89,1.7282,0.2982,14.99
drift____countermeasure_slew_gate___max_jump_m_3.0,drift,slew_gate,,3.0,clamp,,,,,,1500,0,0,0,1.1354,28.04,2.0389,0.3483,14.99
drift____countermeasure_slew_gate___max_rate_mps_0.2,drift,slew_gate,0.2,,clamp,,,,,,1500,0,1499,0,2.2795,6.59,2.6612,0.6808,6.0
drift____countermeasure_slew_gate___max_rate_mps_0.4,drift,slew_gate,0.4,,clamp,,,,,,1500,0,1499,0,1.0886,10.55,1.9772,0.3591,11.99
drift____countermeasure_slew_gate___max_rate_mps_0.4___reject_instead_of_clamp,drift,slew_gate,0.4,,reject,,,,,,1500,1499,0,0,2.0048,29.6,2.0075,0.3668,0.0
drift____countermeasure_slew_gate___max_rate_mps_0.6,drift,slew_gate,0.6,,clamp,,,,,,1500,0,0,0,0.6459,13.52,1.6193,0.2959,14.99
drift____countermeasure_slew_gate___max_rate_mps_0.8,drift,slew_gate,0.8,,clamp,,,,,,1500,0,0,0,0.6393,16.04,1.5774,0.2913,14.99
drift____countermeasure_slew_gate___max_rate_mps_1.0,drift,slew_gate,1.0,,clamp,,,,,,1500,0,0,0,1.1215,18.06,2.0518,0.3486,14.99
drift__no_countermeasure,drift__no_countermeasure,none,,,,,,,,,1500,0,0,0,0.0574,5.25,1.0755,0.2595,14.99
oscillation____countermeasure_robust_fallback___fault_threshold_1,oscillation,robust_fallback,,,,,1,,,,1500,0,0,15,72.7855,2.54,72.8063,8.3478,0.63
oscillation____countermeasure_robust_fallback___fault_threshold_2,oscillation,robust_fallback,,,,,2,,,,1500,0,0,15,0.1784,74.79,0.1784,0.0273,0.63
oscillation____countermeasure_robust_fallback___fault_threshold_3,oscillation,robust_fallback,,,,,3,,,,1500,0,0,15,72.8124,2.16,72.8124,8.3475,0.63
oscillation____countermeasure_robust_fallback___fault_threshold_5,oscillation,robust_fallback,,,,,5,,,,1500,0,0,15,72.7948,2.17,72.8014,8.3476,0.63
oscillation____countermeasure_robust_fallback___hold_seconds_0.5,oscillation,robust_fallback,,,,,,0.5,,,1500,0,0,54,0.0594,74.95,0.1748,0.0427,0.63
oscillation____countermeasure_robust_fallback___hold_seconds_1.0,oscillation,robust_fallback,,,,,,1.0,,,1500,0,0,29,72.9663,2.5,73.0011,8.3678,0.63
oscillation____countermeasure_robust_fallback___hold_seconds_2.0,oscillation,robust_fallback,,,,,,2.0,,,1500,0,0,15,0.0168,75.48,0.0249,0.0124,0.63
oscillation____countermeasure_robust_fallback___hold_seconds_3.0,oscillation,robust_fallback,,,,,,3.0,,,1500,0,0,10,0.0098,75.49,0.01,0.0048,0.63
oscillation____countermeasure_robust_fallback___residual_threshold_m_0.5,oscillation,robust_fallback,,,,,,,0.5,,1500,0,0,15,0.0035,75.49,0.0112,0.0052,0.63
oscillation____countermeasure_robust_fallback___residual_threshold_m_1.0,oscillation,robust_fallback,,,,,,,1.0,,1500,0,0,15,72.7673,2.73,72.7717,8.3457,0.63
oscillation____countermeasure_robust_fallback___residual_threshold_m_1.5,oscillation,robust_fallback,,,,,,,1.5,,1500,0,0,15,-0.0025,75.5,0.0074,0.0037,1.83
oscillation____countermeasure_robust_fallback___residual_threshold_m_2.0,oscillation,robust_fallback,,,,,,,2.0,,1500,0,0,0,-1.0931,76.16,3.5669,0.6849,1.84
oscillation____countermeasure_robust_fallback___window_size_3,oscillation,robust_fallback,,,,3,,,,,1500,0,0,15,0.0107,75.49,0.0107,0.0039,1.24
oscillation____countermeasure_robust_fallback___window_size_5,oscillation,robust_fallback,,,,5,,,,,1500,0,0,15,0.0058,75.5,0.0118,0.0051,0.63
oscillation____countermeasure_robust_fallback___window_size_7,oscillation,robust_fallback,,,,7,,,,,1500,0,0,15,72.7616,2.73,72.7679,8.3456,0.63
oscillation____countermeasure_slew_gate___max_jump_m_0.5,oscillation,slew_gate,,0.5,clamp,,,,,,1500,0,1494,0,0.5346,71.83,0.7005,0.1274,0.02
oscillation____countermeasure_slew_gate___max_jump_m_1.0,oscillation,slew_gate,,1.0,clamp,,,,,,1500,0,1494,0,0.6686,73.18,0.8952,0.1452,0.02
oscillation____countermeasure_slew_gate___max_jump_m_2.0,oscillation,slew_gate,,2.0,clamp,,,,,,1500,0,1498,0,2.5352,72.02,2.7924,0.4448,0.02
oscillation____countermeasure_slew_gate___max_jump_m_3.0,oscillation,slew_gate,,3.0,clamp,,,,,,1500,0,1494,0,1.0892,71.92,1.2203,0.2289,0.02
oscillation____countermeasure_slew_gate___max_rate_mps_0.2,oscillation,slew_gate,0.2,,clamp,,,,,,1500,0,1493,0,0.0177,70.09,0.0207,0.0072,0.0
oscillation____countermeasure_slew_gate___max_rate_mps_0.4,oscillation,slew_gate,0.4,,clamp,,,,,,1500,0,1494,0,0.0205,70.1,0.083,0.0298,0.01
oscillation____countermeasure_slew_gate___max_rate_mps_0.4___reject_instead_of_clamp,oscillation,slew_gate,0.4,,reject,,,,,,1500,1440,0,0,0.431,74.86,0.4332,0.0844,0.01
oscillation____countermeasure_slew_gate___max_rate_mps_0.6,oscillation,slew_gate,0.6,,clamp,,,,,,1500,0,1498,0,2.7342,67.56,2.834,0.6513,0.01
oscillation____countermeasure_slew_gate___max_rate_mps_0.8,oscillation,slew_gate,0.8,,clamp,,,,,,1500,0,1494,0,-0.1216,70.73,0.1847,0.0689,0.02
oscillation____countermeasure_slew_gate___max_rate_mps_1.0,oscillation,slew_gate,1.0,,clamp,,,,,,1500,0,1485,0,1.0217,69.77,1.1628,0.2212,0.04
oscillation__no_countermeasure,oscillation__no_countermeasure,none,,,,,,,,,1500,0,0,0,2.2975,67.78,2.3069,0.7927,0.63
spike____countermeasure_robust_fallback___fault_threshold_1,spike,robust_fallback,,,,,1,,,,1500,0,0,15,-0.0053,74.83,0.0076,0.0035,40.0
spike____countermeasure_robust_fallback___fault_threshold_2,spike,robust_fallback,,,,,2,,,,1500,1,0,14,72.7715,2.06,72.7814,8.3465,2.51
spike____countermeasure_robust_fallback___fault_threshold_3,spike,robust_fallback,,,,,3,,,,1500,0,0,10,72.762,2.07,72.7723,8.3456,0.02
spike____countermeasure_robust_fallback___fault_threshold_5,spike,robust_fallback,,,,,5,,,,1500,0,0,3,72.7693,2.06,72.7743,8.3461,0.02
spike____countermeasure_robust_fallback___hold_seconds_0.5,spike,robust_fallback,,,,,,0.5,,,1500,0,0,30,72.7592,2.06,72.7743,8.346,0.02
spike____countermeasure_robust_fallback___hold_seconds_1.0,spike,robust_fallback,,,,,,1.0,,,1500,1,0,16,72.7654,2.07,72.7687,8.3456,2.51
spike____countermeasure_robust_fallback___hold_seconds_2.0,spike,robust_fallback,,,,,,2.0,,,1500,0,0,9,72.7553,2.07,72.7738,8.3455,0.02
spike____countermeasure_robust_fallback___hold_seconds_3.0,spike,robust_fallback,,,,,,3.0,,,1500,0,0,9,72.7734,2.06,72.7782,8.3462,0.0
spike____countermeasure_robust_fallback___residual_threshold_m_0.5,spike,robust_fallback,,,,,,,0.5,,1500,0,0,11,-0.0053,74.83,0.0083,0.0044,0.02
spike____countermeasure_robust_fallback___residual_threshold_m_1.0,spike,robust_fallback,,,,,,,1.0,,1500,0,0,11,72.7714,2.06,72.7796,8.3463,37.51
spike____countermeasure_robust_fallback___residual_threshold_m_1.5,spike,robust_fallback,,,,,,,1.5,,1500,0,0,11,72.7644,2.07,72.7667,8.3453,0.02
spike____countermeasure_robust_fallback___residual_threshold_m_2.0,spike,robust_fallback,,,,,,,2.0,,1500,0,0,15,-0.0063,74.84,0.0147,0.0039,37.5
spike____countermeasure_robust_fallback___window_size_3,spike,robust_fallback,,,,3,,,,,1500,0,0,11,72.7611,2.07,72.7736,8.3457,0.03
spike____countermeasure_robust_fallback___window_size_5,spike,robust_fallback,,,,5,,,,,1500,0,0,15,-0.0135,74.84,0.0135,0.0039,0.0
spike____countermeasure_robust_fallback___window_size_7,spike,robust_fallback,,,,7,,,,,1500,1,0,11,72.762,2.06,72.7724,8.346,2.51
spike____countermeasure_slew_gate___max_jump_m_0.5,spike,slew_gate,,0.5,clamp,,,,,,1500,0,508,0,72.7612,2.07,72.768,8.3456,0.08
spike____countermeasure_slew_gate___max_jump_m_1.0,spike,slew_gate,,1.0,clamp,,,,,,1500,1,483,0,72.767,2.06,72.769,8.3457,2.54
spike____countermeasure_slew_gate___max_jump_m_2.0,spike,slew_gate,,2.0,clamp,,,,,,1500,0,514,0,72.7581,2.07,72.7627,8.3449,0.04
spike____countermeasure_slew_gate___max_jump_m_3.0,spike,slew_gate,,3.0,clamp,,,,,,1500,0,513,0,0.002,74.83,0.0107,0.0043,0.05
spike____countermeasure_slew_gate___max_rate_mps_0.2,spike,slew_gate,0.2,,clamp,,,,,,1500,0,994,0,72.7631,2.05,72.7736,8.3455,0.01
spike____countermeasure_slew_gate___max_rate_mps_0.4,spike,slew_gate,0.4,,clamp,,,,,,1500,0,1262,0,0.006,74.81,0.017,0.0047,8.0
spike____countermeasure_slew_gate___max_rate_mps_0.4___reject_instead_of_clamp,spike,slew_gate,0.4,,reject,,,,,,1500,668,0,0,72.7679,2.06,72.7757,8.3462,0.04
spike____countermeasure_slew_gate___max_rate_mps_0.6,spike,slew_gate,0.6,,clamp,,,,,,1500,0,571,0,72.7649,2.05,72.7822,8.3461,0.06
spike____countermeasure_slew_gate___max_rate_mps_0.8,spike,slew_gate,0.8,,clamp,,,,,,1500,0,1249,0,-0.0025,74.83,0.0124,0.0054,15.91
spike____countermeasure_slew_gate___max_rate_mps_1.0,spike,slew_gate,1.0,,clamp,,,,,,1500,0,509,0,72.7589,2.07,72.7621,8.345,0.08
spike__no_countermeasure,spike__no_countermeasure,none,,,,,,,,,1500,0,0,0,2.4174,72.39,2.4223,0.5967,40.0
