experiment,samples,rejected,clamped,faults,ekf_drift_m,ekf_start_m
normal____countermeasure_slew_gate___max_jump_m_0.3,1500,0,260,0,0.006,2.49
normal____countermeasure_slew_gate___max_jump_m_0.5,1500,0,259,0,-0.009,2.50
normal____countermeasure_slew_gate___max_jump_m_0.75,1500,0,231,0,0.001,2.50
normal____countermeasure_slew_gate___max_jump_m_1.0,1500,0,268,0,0.008,2.49
normal____countermeasure_slew_gate___max_rate_mps_0.2,1500,0,1086,0,0.014,2.48
normal____countermeasure_slew_gate___max_rate_mps_0.4,1500,0,930,0,0.006,2.49
normal____countermeasure_slew_gate___max_rate_mps_0.4___reject_instead_of_clamp,1500,721,0,0,0.001,2.49
normal____countermeasure_slew_gate___max_rate_mps_0.6,1500,0,406,0,0.005,2.49
normal____countermeasure_slew_gate___max_rate_mps_0.8,1500,0,392,0,-0.001,2.49
oscillation____countermeasure_robust_fallback___fault_threshold_2,1500,0,0,0,-0.017,2.50
oscillation____countermeasure_robust_fallback___fault_threshold_3,1500,0,0,0,0.007,2.49
oscillation____countermeasure_robust_fallback___fault_threshold_5,1500,0,0,0,-0.010,2.51
oscillation____countermeasure_robust_fallback___hold_seconds_0.5,1500,0,0,0,-0.008,2.50
oscillation____countermeasure_robust_fallback___hold_seconds_1.0,1500,0,0,0,0.001,2.49
oscillation____countermeasure_robust_fallback___hold_seconds_2.0,1500,0,0,0,0.002,2.49
oscillation____countermeasure_robust_fallback___hold_seconds_3.0,1500,0,0,0,0.007,2.49
oscillation____countermeasure_robust_fallback___min_quality_30,1500,0,0,0,-0.005,2.50
oscillation____countermeasure_robust_fallback___min_quality_50,1500,0,0,0,-0.006,2.51
oscillation____countermeasure_robust_fallback___residual_threshold_m_0.3,1500,0,0,0,-0.002,2.49
oscillation____countermeasure_robust_fallback___residual_threshold_m_0.5,1500,0,0,0,-0.003,2.49
oscillation____countermeasure_robust_fallback___residual_threshold_m_0.75,1500,0,0,0,-0.008,2.50
oscillation____countermeasure_robust_fallback___residual_threshold_m_1.0,1500,0,0,0,0.004,2.49
oscillation____countermeasure_robust_fallback___window_size_3,1500,0,0,0,0.002,2.50
oscillation____countermeasure_robust_fallback___window_size_5,1500,0,0,0,0.001,2.49
oscillation____countermeasure_robust_fallback___window_size_7,1500,0,0,0,-0.006,2.50
oscillation____countermeasure_slew_gate___max_jump_m_0.3,1500,0,1493,0,0.005,2.50
oscillation____countermeasure_slew_gate___max_jump_m_0.5,1500,0,1492,0,0.000,2.49
oscillation____countermeasure_slew_gate___max_jump_m_0.75,1500,0,1492,0,-0.007,2.51
oscillation____countermeasure_slew_gate___max_jump_m_1.0,1500,0,1494,0,0.007,2.49
oscillation____countermeasure_slew_gate___max_rate_mps_0.2,1500,0,1494,0,-0.006,2.50
oscillation____countermeasure_slew_gate___max_rate_mps_0.4,1500,0,1494,0,-0.010,2.50
oscillation____countermeasure_slew_gate___max_rate_mps_0.4___reject_instead_of_clamp,1500,1469,0,0,0.011,2.48
oscillation____countermeasure_slew_gate___max_rate_mps_0.6,1500,0,1493,0,-0.014,2.50
oscillation____countermeasure_slew_gate___max_rate_mps_0.8,1500,0,1494,0,-0.014,2.51
oscillation__no_countermeasure,1500,0,0,0,-0.002,2.49
spike____countermeasure_robust_fallback___fault_threshold_2,1500,0,0,2,0.003,2.49
spike____countermeasure_robust_fallback___fault_threshold_3,1500,0,0,0,0.005,2.49
spike____countermeasure_robust_fallback___fault_threshold_5,1500,0,0,0,-0.006,2.50
spike____countermeasure_robust_fallback___hold_seconds_0.5,1500,0,0,0,-0.011,2.51
spike____countermeasure_robust_fallback___hold_seconds_1.0,1500,0,0,0,0.009,2.49
spike____countermeasure_robust_fallback___hold_seconds_2.0,1500,0,0,0,0.008,2.49
spike____countermeasure_robust_fallback___hold_seconds_3.0,1500,0,0,0,0.000,2.49
spike____countermeasure_robust_fallback___min_quality_30,1500,0,0,1,-0.002,2.49
spike____countermeasure_robust_fallback___min_quality_50,1500,0,0,0,-0.000,2.50
spike____countermeasure_robust_fallback___residual_threshold_m_0.3,1500,0,0,1,0.008,2.49
spike____countermeasure_robust_fallback___residual_threshold_m_0.5,1500,0,0,1,-0.005,2.50
spike____countermeasure_robust_fallback___residual_threshold_m_0.75,1500,0,0,1,-0.001,2.49
spike____countermeasure_robust_fallback___residual_threshold_m_1.0,1500,0,0,0,-0.017,2.51
spike____countermeasure_robust_fallback___window_size_3,1500,0,0,1,-0.017,2.50
spike____countermeasure_robust_fallback___window_size_5,1500,0,0,0,-0.010,2.50
spike____countermeasure_robust_fallback___window_size_7,1500,0,0,0,-0.022,2.51
spike____countermeasure_slew_gate___max_jump_m_0.3,1500,0,255,0,-0.007,2.51
spike____countermeasure_slew_gate___max_jump_m_0.5,1500,0,1455,0,-0.002,2.50
spike____countermeasure_slew_gate___max_jump_m_0.75,1500,0,284,0,-0.011,2.51
spike____countermeasure_slew_gate___max_jump_m_1.0,1500,0,285,0,-0.009,2.51
spike____countermeasure_slew_gate___max_rate_mps_0.2,1500,0,1065,0,0.009,2.49
spike____countermeasure_slew_gate___max_rate_mps_0.4,1500,0,835,0,0.004,2.50
spike____countermeasure_slew_gate___max_rate_mps_0.4___reject_instead_of_clamp,1500,682,0,0,-0.016,2.50
spike____countermeasure_slew_gate___max_rate_mps_0.6,1500,0,414,0,-0.004,2.50
spike____countermeasure_slew_gate___max_rate_mps_0.8,1500,0,393,0,0.001,2.50
spike__no_countermeasure,1500,0,0,0,-0.004,2.50
